Company Name,Sector,Market Price,52 Weeks High - Low,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share,G.N,price above GN
Sana Kisan Bikas Laghubitta Bittiya sanstha Limited. (SKBBL),Microfinance,"1,291.20","2,184.00-1,145.00",41.4,31.19,245.52,5.26,"1.32
                                
                                    (FY:077-078)","25.00
                                
                                    (FY:077-078)",,478.2278536430098,169.99682058750645
Swarojgar Laghubitta Bittiya Sanstha Ltd. (SLBBL),Microfinance,"1,095.00","1,685.00-890.00",35.0,31.21,135.70,8.07,,"25.00
                                
                                    (FY:077-078)",,326.90021413269216,234.96460163085985
Samudayik Laghubitta Bittiya Sanstha Limited (SLBSL),Microfinance,"1,312.00","1,785.00-951.60",39.1,33.55,169.88,7.72,,,"2:1
                                
                                    (FY:075-076)",386.59013179335034,239.37751952274934
Sanima Large Cap Fund (SLCF),Mutual Fund,9.20,11.40-8.78,0.00,0.00,0.00,9.20,,,,0.0,0
Sanima Life Insurance (SLI),Life Insurance,573.00,787.80-309.00,0.00,0.00,116.62,4.91,,,,0.0,0
Surya Life Insurance Company Limited (SLICL),Life Insurance,753.10,"1,091.00-617.40",0.00,0.00,127.02,5.93,,"12.70
                                
                                    (FY:076-077)",,0.0,0
Samata Gharelu Laghubitta Bittiya Sanstha Limited (SMATA),Microfinance,"1,112.00","2,048.00-550.00",20.7,53.64,142.26,7.82,"5.00
                                
                                    (FY:077-078)","20.00
                                
                                    (FY:077-078)",,257.40550693409807,332.00318953731573
Support Microfinance Bittiya Sanstha Ltd. (SMB),Microfinance,"1,837.00","2,900.00-1,619.00",23.0,79.56,147.29,12.47,"1.58
                                
                                    (FY:077-078)","30.00
                                
                                    (FY:077-078)","1:2
                                
                                    (FY:071-072)",276.0843621069473,565.3763313433876
Swabhimaan Laghubitta Bittiya Sanstha Ltd (SMFBS),Microfinance,"1,881.10","2,865.00-1,670.00",36.0,52.25,143.87,13.07,"1.70
                                
                                    (FY:077-078)","32.30
                                
                                    (FY:077-078)","3:1
                                
                                    (FY:075-076)",341.37179145324825,451.0414296365847
Summit Laghubitta Bittiya Sanstha  Ltd. (SMFDB),Microfinance,"1,195.00","1,938.00-1,100.00",34.4,34.69,139.07,8.59,"1.11
                                
                                    (FY:075-076)",,,328.08562906655936,264.23417977797743
Samling Power Company Limited (SPC),Hydro Power,656.00,745.00-296.30,-23.,-27.86,116.31,5.64,,,,0,0
Synergy Power Development Ltd. (SPDL),Hydro Power,486.00,823.90-245.00,11.5,41.93,106.97,4.54,"0.53
                                
                                    (FY:077-078)","10.00
                                
                                    (FY:077-078)",,166.36852917544232,192.12255611606295
Sunrise Bank Limited (SRBL),Commercial Banks,270.00,418.20-250.00,14.7,18.32,151.79,1.78,"0.35
                                
                                    (FY:077-078)","6.65
                                
                                    (FY:077-078)","10:3
                                
                                    (FY:072-073)",224.0637018796217,20.501445675952272
Shiva Shree Hydropower Limited (SSHL),Hydro Power,353.90,533.00-168.00,-24.,-14.49,89.03,3.98,,,,0,0
Salt Trading Corporation (STC),Tradings,"6,345.00","13,780.00-4,740.00",7.07,897.45,573.78,11.06,"5.00
                                
                                    (FY:076-077)",,,302.1159603529744,2000.1869588706527
Swabalamban Laghubitta Bittiya Sanstha Limited (SWBBL),Microfinance,"1,263.00","2,109.00-1,097.00",41.9,30.14,260.44,4.85,"6.00
                                
                                    (FY:077-078)","19.00
                                
                                    (FY:077-078)",,495.509646727488,154.8890840655224
Terhathum Power Company Limited (TPC),Hydro Power,625.00,663.00-254.20,8.59,72.76,79.97,7.82,,,,124.3229735406936,402.7228533875309
Taragaon Regency Hotel Limited (TRH),Hotels And Tourism,370.00,468.00-275.00,-9.6,-38.30,110.50,3.35,"10.00
                                
                                    (FY:076-077)",,,0,0
United Insurance Co. (Nepal) Ltd. (UIC),Non-Life Insurance,712.00,890.00-546.00,11.6,60.96,115.37,6.17,,"10.00
                                
                                    (FY:072-073)","1:2.4
                                
                                    (FY:074-075)",173.52685671100022,310.31112618250114
Union Life Insurance Company Limited (ULI),Life Insurance,684.80,940.10-342.00,0.00,0.00,154.13,4.44,,,,0.0,0
United Modi Hydropower Ltd. (UMHL),Hydro Power,399.00,646.60-152.00,4.31,92.58,108.86,3.67,"5.26
                                
                                    (FY:076-077)",,,102.7457955344159,288.33705839218527
United IDI Mardi RB Hydropower Limited. (UMRH),Hydro Power,690.00,811.00-220.00,22.7,30.36,111.57,6.18,,,,238.71400775823776,189.0488105326483
Union Hydropower Limited (UNHPL),Hydro Power,370.00,612.00-113.00,5.27,70.21,92.50,4.00,,,,104.72911486305992,253.29239675499875
Unilever Nepal Limited (UNL),Manufacturing And Processing,"19,000.00","23,180.00-18,050.00",676.,28.10,"2,827.80",6.72,"650.00
                                
                                    (FY:077-078)",,,6558.264861989031,189.71077563704196
UNIVERSAL POWER COMPANY LTD (UPCL),Hydro Power,378.00,635.00-132.00,1.97,191.88,107.38,3.52,,,,68.98998840411556,447.9055856421199
Upper Tamakoshi Hydropower Ltd (UPPER),Hydro Power,652.00,962.50-485.00,-6.2,-104.49,86.86,7.51,,,,0,0
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited (USLB),Microfinance,"1,505.00","2,868.00-1,442.00",23.9,62.81,157.38,9.56,,"30.00
                                
                                    (FY:077-078)",,290.91423994022705,417.33459328399533
Vijaya laghubitta Bittiya Sanstha Ltd. (VLBS),Microfinance,"1,305.00","2,036.00-1,240.00",42.7,30.50,160.13,8.15,"1.06
                                
                                    (FY:077-078)","20.03
                                
                                    (FY:077-078)","1:1
                                
                                    (FY:074-075)",392.23066873970987,232.71238177094648
WEAN Nepal Laghubitta Bittiya Sanstha Limited (WNLB),Microfinance,"1,564.00","2,090.00-831.00",4.58,341.48,128.33,12.19,,,,114.99741953626612,1260.030517473281
